game_id,Season,StadiumName,TimeStartGame,TimeEndGame,TZOffset
2018090600,2018,Lincoln Financial Field,9/6/2018 20:20,9/6/2018 23:39,-4
2018090900,2018,M&T Bank Stadium,9/9/2018 13:00,9/9/2018 16:21,-4
2018090901,2018,FirstEnergy Stadium,9/9/2018 13:00,9/9/2018 16:54,-4
2018090902,2018,Lucas Oil Stadium,9/9/2018 13:00,9/9/2018 16:04,-4
2018090903,2018,Hard Rock Stadium,9/9/2018 13:00,9/9/2018 20:08,-4
2018090904,2018,U.S. Bank Stadium,9/9/2018 12:00,9/9/2018 15:12,-5
2018090905,2018,Gillette Stadium,9/9/2018 13:00,9/9/2018 16:12,-4
2018090906,2018,Mercedes-Benz Superdome,9/9/2018 12:00,9/9/2018 15:13,-5
2018090907,2018,MetLife Stadium,9/9/2018 13:00,9/9/2018 16:04,-4
2018090908,2018,Dignity Health Sports Park,9/9/2018 13:05,9/9/2018 16:13,-7
2018090909,2018,State Farm Stadium,9/9/2018 13:25,9/9/2018 16:22,-7
2018090910,2018,Bank of America Stadium,9/9/2018 16:25,9/9/2018 19:27,-4
2018090911,2018,Empower Field at Mile High,9/9/2018 14:25,9/9/2018 17:31,-6
2018090912,2018,Lambeau Field,9/9/2018 19:20,9/9/2018 22:27,-5
2018091000,2018,Ford Field,9/10/2018 19:10,9/10/2018 22:28,-4
2018091001,2018,Oakland Coliseum,9/10/2018 19:20,9/10/2018 22:30,-7
2018091300,2018,Paul Brown Stadium,9/13/2018 20:20,9/13/2018 23:46,-4
2018091600,2018,Mercedes-Benz Stadium,9/16/2018 13:00,9/16/2018 16:08,-4
2018091601,2018,New Era Field,9/16/2018 13:00,9/16/2018 16:07,-4
2018091602,2018,Lambeau Field,9/16/2018 12:00,9/16/2018 15:37,-5
2018091603,2018,Mercedes-Benz Superdome,9/16/2018 12:00,9/16/2018 14:55,-5
2018091604,2018,MetLife Stadium,9/16/2018 13:00,9/16/2018 16:04,-4
2018091605,2018,Heinz Field,9/16/2018 13:00,9/16/2018 16:23,-4
2018091606,2018,Raymond James Stadium,9/16/2018 13:00,9/16/2018 16:13,-4
2018091607,2018,Nissan Stadium,9/16/2018 12:00,9/16/2018 14:57,-5
2018091608,2018,FedExField,9/16/2018 13:00,9/16/2018 15:53,-4
2018091609,2018,Los Angeles Memorial Coliseum,9/16/2018 13:05,9/16/2018 15:50,-7
2018091610,2018,Levi's Stadium,9/16/2018 13:05,9/16/2018 16:25,-7
2018091611,2018,Empower Field at Mile High,9/16/2018 14:25,9/16/2018 17:32,-6
2018091612,2018,TIAA Bank Field,9/16/2018 16:25,9/16/2018 19:27,-4
2018091613,2018,AT&T Stadium,9/16/2018 19:20,9/16/2018 22:10,-5
2018091700,2018,Soldier Field,9/17/2018 19:15,9/17/2018 22:14,-5
2018092000,2018,FirstEnergy Stadium,9/20/2018 20:20,9/20/2018 23:33,-4
2018092300,2018,Mercedes-Benz Stadium,9/23/2018 13:00,9/23/2018 16:38,-4
2018092301,2018,M&T Bank Stadium,9/23/2018 13:00,9/23/2018 16:10,-4
2018092302,2018,Bank of America Stadium,9/23/2018 13:00,9/23/2018 16:07,-4
2018092303,2018,NRG Stadium,9/23/2018 12:00,9/23/2018 14:58,-5
2018092304,2018,TIAA Bank Field,9/23/2018 13:00,9/23/2018 15:56,-4
2018092305,2018,Arrowhead Stadium,9/23/2018 12:00,9/23/2018 15:16,-5
2018092306,2018,Hard Rock Stadium,9/23/2018 13:00,9/23/2018 16:04,-4
2018092307,2018,U.S. Bank Stadium,9/23/2018 12:00,9/23/2018 15:06,-5
2018092308,2018,Lincoln Financial Field,9/23/2018 13:00,9/23/2018 16:10,-4
2018092309,2018,FedExField,9/23/2018 13:00,9/23/2018 16:16,-4
2018092310,2018,Los Angeles Memorial Coliseum,9/23/2018 13:05,9/23/2018 16:02,-7
2018092311,2018,State Farm Stadium,9/23/2018 13:25,9/23/2018 16:32,-7
2018092312,2018,CenturyLink Field,9/23/2018 13:25,9/23/2018 16:28,-7
2018092313,2018,Ford Field,9/23/2018 20:20,9/23/2018 23:07,-4
2018092400,2018,Raymond James Stadium,9/24/2018 20:15,9/24/2018 23:34,-4
2018092700,2018,Los Angeles Memorial Coliseum,9/27/2018 17:20,9/27/2018 20:27,-7
2018093000,2018,Mercedes-Benz Stadium,9/30/2018 13:00,9/30/2018 16:25,-4
2018093001,2018,Soldier Field,9/30/2018 12:00,9/30/2018 14:57,-5
2018093002,2018,AT&T Stadium,9/30/2018 12:00,9/30/2018 14:58,-5
2018093003,2018,Lambeau Field,9/30/2018 12:00,9/30/2018 15:11,-5
2018093004,2018,Lucas Oil Stadium,9/30/2018 13:00,9/30/2018 16:57,-4
2018093005,2018,TIAA Bank Field,9/30/2018 13:00,9/30/2018 16:12,-4
2018093006,2018,Gillette Stadium,9/30/2018 13:00,9/30/2018 15:56,-4
2018093007,2018,Nissan Stadium,9/30/2018 12:00,9/30/2018 15:36,-5
2018093008,2018,State Farm Stadium,9/30/2018 13:05,9/30/2018 16:10,-7
2018093009,2018,Oakland Coliseum,9/30/2018 13:05,9/30/2018 17:09,-7
2018093010,2018,Dignity Health Sports Park,9/30/2018 13:25,9/30/2018 16:38,-7
2018093011,2018,MetLife Stadium,9/30/2018 16:25,9/30/2018 19:27,-4
2018093012,2018,Heinz Field,9/30/2018 20:20,9/30/2018 23:28,-4
2018100100,2018,Empower Field at Mile High,10/1/2018 18:15,10/1/2018 21:19,-6
2018100400,2018,Gillette Stadium,10/4/2018 20:20,10/4/2018 23:34,-4
2018100700,2018,New Era Field,10/7/2018 13:00,10/7/2018 15:46,-4
2018100701,2018,Bank of America Stadium,10/7/2018 13:00,10/7/2018 16:21,-4
2018100702,2018,Paul Brown Stadium,10/7/2018 13:00,10/7/2018 16:02,-4
2018100703,2018,FirstEnergy Stadium,10/7/2018 13:00,10/7/2018 16:36,-4
2018100704,2018,Ford Field,10/7/2018 13:00,10/7/2018 16:23,-4
2018100705,2018,Arrowhead Stadium,10/7/2018 12:00,10/7/2018 15:24,-5
2018100706,2018,MetLife Stadium,10/7/2018 13:00,10/7/2018 16:09,-4
2018100707,2018,Heinz Field,10/7/2018 13:00,10/7/2018 16:02,-4
2018100708,2018,Dignity Health Sports Park,10/7/2018 13:05,10/7/2018 15:54,-7
2018100709,2018,Lincoln Financial Field,10/7/2018 16:25,10/7/2018 19:27,-4
2018100710,2018,Levi's Stadium,10/7/2018 13:25,10/7/2018 16:42,-7
2018100711,2018,CenturyLink Field,10/7/2018 13:25,10/7/2018 16:37,-7
2018100712,2018,NRG Stadium,10/7/2018 19:20,10/7/2018 22:43,-5
2018100800,2018,Mercedes-Benz Superdome,10/8/2018 19:15,10/8/2018 22:20,-5
2018101100,2018,MetLife Stadium,10/11/2018 20:20,10/11/2018 23:33,-4
2018101400,2018,Mercedes-Benz Stadium,10/14/2018 13:00,10/14/2018 16:09,-4
2018101401,2018,Paul Brown Stadium,10/14/2018 13:00,10/14/2018 16:08,-4
2018101402,2018,FirstEnergy Stadium,10/14/2018 13:00,10/14/2018 16:07,-4
2018101403,2018,NRG Stadium,10/14/2018 12:00,10/14/2018 14:55,-5
2018101404,2018,Hard Rock Stadium,10/14/2018 13:00,10/14/2018 16:33,-4
2018101405,2018,U.S. Bank Stadium,10/14/2018 12:00,10/14/2018 15:01,-5
2018101406,2018,MetLife Stadium,10/14/2018 13:00,10/14/2018 16:10,-4
2018101407,2018,Wembley Stadium,10/14/2018 18:00,10/14/2018 20:50,1
2018101408,2018,FedExField,10/14/2018 13:00,10/14/2018 15:55,-4
2018101409,2018,Empower Field at Mile High,10/14/2018 14:05,10/14/2018 17:21,-6
2018101410,2018,AT&T Stadium,10/14/2018 15:25,10/14/2018 18:17,-5
2018101411,2018,Nissan Stadium,10/14/2018 15:25,10/14/2018 18:17,-5
2018101412,2018,Gillette Stadium,10/14/2018 20:20,10/14/2018 23:27,-4
2018101500,2018,Lambeau Field,10/15/2018 19:15,10/15/2018 22:25,-5
2018101800,2018,State Farm Stadium,10/18/2018 17:20,10/18/2018 20:24,-7
2018102100,2018,Wembley Stadium,10/21/2018 14:30,10/21/2018 17:24,1
2018102101,2018,M&T Bank Stadium,10/21/2018 16:05,10/21/2018 19:08,-4
2018102102,2018,Soldier Field,10/21/2018 12:00,10/21/2018 15:21,-5
2018102103,2018,Lucas Oil Stadium,10/21/2018 13:00,10/21/2018 15:54,-4
2018102104,2018,TIAA Bank Field,10/21/2018 13:00,10/21/2018 15:52,-4
2018102105,2018,Arrowhead Stadium,10/21/2018 19:20,10/21/2018 22:24,-5
2018102106,2018,Hard Rock Stadium,10/21/2018 13:00,10/21/2018 15:56,-4
2018102107,2018,MetLife Stadium,10/21/2018 13:00,10/21/2018 16:29,-4
2018102108,2018,Lincoln Financial Field,10/21/2018 13:00,10/21/2018 15:55,-4
2018102109,2018,Raymond James Stadium,10/21/2018 13:00,10/21/2018 16:40,-4
2018102110,2018,FedExField,10/21/2018 16:25,10/21/2018 19:30,-4
2018102111,2018,Levi's Stadium,10/21/2018 13:25,10/21/2018 16:26,-7
2018102200,2018,Mercedes-Benz Stadium,10/22/2018 20:15,10/22/2018 23:12,-4
2018102500,2018,NRG Stadium,10/25/2018 19:20,10/25/2018 22:41,-5
2018102800,2018,Wembley Stadium,10/28/2018 13:30,10/28/2018 16:23,0
2018102801,2018,Bank of America Stadium,10/28/2018 13:00,10/28/2018 16:05,-4
2018102802,2018,Soldier Field,10/28/2018 12:00,10/28/2018 15:00,-5
2018102803,2018,Paul Brown Stadium,10/28/2018 13:00,10/28/2018 16:23,-4
2018102804,2018,Ford Field,10/28/2018 13:00,10/28/2018 16:01,-4
2018102805,2018,Arrowhead Stadium,10/28/2018 12:00,10/28/2018 15:10,-5
2018102806,2018,MetLife Stadium,10/28/2018 13:00,10/28/2018 16:13,-4
2018102807,2018,Heinz Field,10/28/2018 13:00,10/28/2018 16:04,-4
2018102808,2018,Oakland Coliseum,10/28/2018 13:05,10/28/2018 16:06,-7
2018102809,2018,State Farm Stadium,10/28/2018 13:25,10/28/2018 16:36,-7
2018102810,2018,Los Angeles Memorial Coliseum,10/28/2018 13:25,10/28/2018 16:44,-7
2018102811,2018,U.S. Bank Stadium,10/28/2018 19:20,10/28/2018 22:09,-5
2018102900,2018,New Era Field,10/29/2018 20:15,10/29/2018 23:29,-4
2018110100,2018,Levi's Stadium,11/1/2018 17:20,11/1/2018 20:10,-7
2018110400,2018,M&T Bank Stadium,11/4/2018 13:00,11/4/2018 16:05,-5
2018110401,2018,New Era Field,11/4/2018 13:00,11/4/2018 16:10,-5
2018110402,2018,Bank of America Stadium,11/4/2018 13:00,11/4/2018 16:16,-5
2018110403,2018,FirstEnergy Stadium,11/4/2018 13:00,11/4/2018 16:06,-5
2018110404,2018,Hard Rock Stadium,11/4/2018 13:00,11/4/2018 15:58,-5
2018110405,2018,U.S. Bank Stadium,11/4/2018 12:00,11/4/2018 14:46,-6
2018110406,2018,FedExField,11/4/2018 13:00,11/4/2018 15:57,-5
2018110407,2018,Empower Field at Mile High,11/4/2018 14:05,11/4/2018 17:10,-7
2018110408,2018,CenturyLink Field,11/4/2018 13:05,11/4/2018 16:11,-8
2018110409,2018,Mercedes-Benz Superdome,11/4/2018 15:25,11/4/2018 18:36,-6
2018110410,2018,Gillette Stadium,11/4/2018 20:20,11/4/2018 23:30,-5
2018110500,2018,AT&T Stadium,11/5/2018 19:15,11/5/2018 22:10,-6
2018110800,2018,Heinz Field,11/8/2018 20:20,11/8/2018 23:09,-5
2018111100,2018,Soldier Field,11/11/2018 12:00,11/11/2018 15:13,-6
2018111101,2018,Paul Brown Stadium,11/11/2018 13:00,11/11/2018 15:44,-5
2018111102,2018,FirstEnergy Stadium,11/11/2018 13:00,11/11/2018 15:49,-5
2018111103,2018,Lambeau Field,11/11/2018 15:25,11/11/2018 18:19,-6
2018111104,2018,Lucas Oil Stadium,11/11/2018 13:00,11/11/2018 16:05,-5
2018111105,2018,Arrowhead Stadium,11/11/2018 12:00,11/11/2018 14:54,-6
2018111106,2018,MetLife Stadium,11/11/2018 13:00,11/11/2018 16:03,-5
2018111107,2018,Raymond James Stadium,11/11/2018 13:00,11/11/2018 16:01,-5
2018111108,2018,Nissan Stadium,11/11/2018 12:00,11/11/2018 14:59,-6
2018111109,2018,Oakland Coliseum,11/11/2018 13:05,11/11/2018 15:56,-8
2018111110,2018,Los Angeles Memorial Coliseum,11/11/2018 13:25,11/11/2018 16:34,-8
2018111111,2018,Lincoln Financial Field,11/11/2018 20:20,11/11/2018 23:22,-5
2018111200,2018,Levi's Stadium,11/12/2018 17:15,11/12/2018 20:21,-8
2018111500,2018,CenturyLink Field,11/15/2018 17:20,11/15/2018 20:16,-8
2018111800,2018,Mercedes-Benz Stadium,11/18/2018 13:00,11/18/2018 15:45,-5
2018111801,2018,M&T Bank Stadium,11/18/2018 13:00,11/18/2018 16:05,-5
2018111802,2018,Soldier Field,11/18/2018 19:20,11/18/2018 22:23,-6
2018111803,2018,Ford Field,11/18/2018 13:00,11/18/2018 15:57,-5
2018111804,2018,Lucas Oil Stadium,11/18/2018 13:00,11/18/2018 15:51,-5
2018111805,2018,MetLife Stadium,11/18/2018 13:00,11/18/2018 16:01,-5
2018111806,2018,FedExField,11/18/2018 13:00,11/18/2018 16:03,-5
2018111807,2018,State Farm Stadium,11/18/2018 14:05,11/18/2018 17:07,-7
2018111808,2018,Dignity Health Sports Park,11/18/2018 13:05,11/18/2018 16:15,-8
2018111809,2018,Mercedes-Benz Superdome,11/18/2018 15:25,11/18/2018 18:32,-6
2018111810,2018,TIAA Bank Field,11/18/2018 13:00,11/18/2018 16:14,-5
2018111900,2018,Los Angeles Memorial Coliseum,11/19/2018 17:15,11/19/2018 20:57,-8
2018112200,2018,Ford Field,11/22/2018 12:30,11/22/2018 15:32,-5
2018112201,2018,AT&T Stadium,11/22/2018 15:30,11/22/2018 19:06,-6
2018112202,2018,Mercedes-Benz Superdome,11/22/2018 19:20,11/22/2018 22:15,-6
2018112500,2018,M&T Bank Stadium,11/25/2018 13:00,11/25/2018 16:02,-5
2018112501,2018,New Era Field,11/25/2018 13:00,11/25/2018 16:22,-5
2018112502,2018,Bank of America Stadium,11/25/2018 13:00,11/25/2018 16:03,-5
2018112503,2018,Paul Brown Stadium,11/25/2018 13:00,11/25/2018 16:18,-5
2018112504,2018,Lucas Oil Stadium,11/25/2018 16:25,11/25/2018 19:21,-5
2018112505,2018,MetLife Stadium,11/25/2018 13:00,11/25/2018 15:58,-5
2018112506,2018,Lincoln Financial Field,11/25/2018 13:00,11/25/2018 16:06,-5
2018112507,2018,Raymond James Stadium,11/25/2018 13:00,11/25/2018 16:08,-5
2018112508,2018,Dignity Health Sports Park,11/25/2018 13:05,11/25/2018 15:50,-8
2018112509,2018,Empower Field at Mile High,11/25/2018 14:25,11/25/2018 17:28,-7
2018112510,2018,U.S. Bank Stadium,11/25/2018 19:20,11/25/2018 22:27,-6
2018112600,2018,NRG Stadium,11/26/2018 19:15,11/26/2018 21:59,-6
2018112900,2018,AT&T Stadium,11/29/2018 19:20,11/29/2018 22:18,-6
2018120200,2018,Mercedes-Benz Stadium,12/2/2018 13:00,12/2/2018 16:09,-5
2018120201,2018,Paul Brown Stadium,12/2/2018 13:00,12/2/2018 16:13,-5
2018120202,2018,Ford Field,12/2/2018 13:00,12/2/2018 16:14,-5
2018120203,2018,Lambeau Field,12/2/2018 12:00,12/2/2018 15:10,-6
2018120204,2018,NRG Stadium,12/2/2018 12:00,12/2/2018 15:02,-6
2018120205,2018,TIAA Bank Field,12/2/2018 13:00,12/2/2018 15:51,-5
2018120206,2018,Hard Rock Stadium,12/2/2018 13:00,12/2/2018 16:10,-5
2018120207,2018,MetLife Stadium,12/2/2018 13:00,12/2/2018 16:34,-5
2018120208,2018,Heinz Field,12/2/2018 20:20,12/2/2018 23:30,-5
2018120209,2018,Raymond James Stadium,12/2/2018 13:00,12/2/2018 16:02,-5
2018120210,2018,Oakland Coliseum,12/2/2018 13:05,12/2/2018 16:22,-8
2018120211,2018,Nissan Stadium,12/2/2018 15:05,12/2/2018 18:22,-6
2018120212,2018,Gillette Stadium,12/2/2018 16:25,12/2/2018 19:23,-5
2018120213,2018,CenturyLink Field,12/2/2018 13:25,12/2/2018 16:40,-8
2018120300,2018,Lincoln Financial Field,12/3/2018 20:15,12/3/2018 23:12,-5
2018120600,2018,Nissan Stadium,12/6/2018 19:20,12/6/2018 22:18,-6
2018120900,2018,New Era Field,12/9/2018 13:00,12/9/2018 16:12,-5
2018120901,2018,Soldier Field,12/9/2018 19:20,12/9/2018 22:32,-6
2018120902,2018,FirstEnergy Stadium,12/9/2018 13:00,12/9/2018 16:10,-5
2018120903,2018,Lambeau Field,12/9/2018 12:00,12/9/2018 15:12,-6
2018120904,2018,NRG Stadium,12/9/2018 12:00,12/9/2018 15:10,-6
2018120905,2018,Arrowhead Stadium,12/9/2018 12:00,12/9/2018 15:28,-6
2018120906,2018,Hard Rock Stadium,12/9/2018 13:00,12/9/2018 16:08,-5
2018120907,2018,Raymond James Stadium,12/9/2018 13:00,12/9/2018 16:12,-5
2018120908,2018,FedExField,12/9/2018 13:00,12/9/2018 16:01,-5
2018120909,2018,Dignity Health Sports Park,12/9/2018 13:05,12/9/2018 16:03,-8
2018120910,2018,Levi's Stadium,12/9/2018 13:05,12/9/2018 16:24,-8
2018120911,2018,State Farm Stadium,12/9/2018 14:25,12/9/2018 17:22,-7
2018120912,2018,AT&T Stadium,12/9/2018 15:25,12/9/2018 18:53,-6
2018120913,2018,Oakland Coliseum,12/9/2018 13:25,12/9/2018 16:29,-8
2018121000,2018,CenturyLink Field,12/10/2018 17:15,12/10/2018 20:10,-8
2018121300,2018,Arrowhead Stadium,12/13/2018 19:20,12/13/2018 22:29,-6
2018121500,2018,MetLife Stadium,12/15/2018 16:30,12/15/2018 19:39,-5
2018121501,2018,Empower Field at Mile High,12/15/2018 18:20,12/15/2018 21:26,-7
2018121600,2018,Mercedes-Benz Stadium,12/16/2018 13:00,12/16/2018 16:07,-5
2018121601,2018,M&T Bank Stadium,12/16/2018 13:00,12/16/2018 15:50,-5
2018121602,2018,New Era Field,12/16/2018 13:00,12/16/2018 15:58,-5
2018121603,2018,Soldier Field,12/16/2018 12:00,12/16/2018 14:58,-6
2018121604,2018,Paul Brown Stadium,12/16/2018 13:00,12/16/2018 16:13,-5
2018121605,2018,Lucas Oil Stadium,12/16/2018 13:00,12/16/2018 15:54,-5
2018121606,2018,TIAA Bank Field,12/16/2018 13:00,12/16/2018 15:52,-5
2018121607,2018,U.S. Bank Stadium,12/16/2018 12:00,12/16/2018 15:03,-6
2018121608,2018,MetLife Stadium,12/16/2018 13:00,12/16/2018 16:07,-5
2018121609,2018,Levi's Stadium,12/16/2018 13:05,12/16/2018 16:23,-8
2018121610,2018,Heinz Field,12/16/2018 16:25,12/16/2018 19:21,-5
2018121611,2018,Los Angeles Memorial Coliseum,12/16/2018 17:20,12/16/2018 20:35,-8
2018121700,2018,Bank of America Stadium,12/17/2018 20:15,12/17/2018 23:17,-5
2018122200,2018,Nissan Stadium,12/22/2018 15:30,12/22/2018 18:14,-6
2018122201,2018,Dignity Health Sports Park,12/22/2018 17:20,12/22/2018 20:16,-8
2018122300,2018,Lucas Oil Stadium,12/23/2018 13:00,12/23/2018 15:59,-5
2018122302,2018,Hard Rock Stadium,12/23/2018 13:00,12/23/2018 15:50,-5
2018122304,2018,Bank of America Stadium,12/23/2018 13:00,12/23/2018 16:00,-5
2018122305,2018,FirstEnergy Stadium,12/23/2018 13:00,12/23/2018 15:45,-5
2018122306,2018,AT&T Stadium,12/23/2018 12:00,12/23/2018 15:00,-6
2018122307,2018,Ford Field,12/23/2018 13:00,12/23/2018 16:09,-5
2018122308,2018,Gillette Stadium,12/23/2018 13:00,12/23/2018 16:01,-5
2018122309,2018,MetLife Stadium,12/23/2018 13:00,12/23/2018 16:47,-5
2018122310,2018,Lincoln Financial Field,12/23/2018 13:00,12/23/2018 16:17,-5
2018122311,2018,State Farm Stadium,12/23/2018 14:05,12/23/2018 17:02,-7
2018122312,2018,Levi's Stadium,12/23/2018 13:05,12/23/2018 16:13,-8
2018122313,2018,Mercedes-Benz Superdome,12/23/2018 15:25,12/23/2018 18:49,-6
2018122314,2018,CenturyLink Field,12/23/2018 17:20,12/23/2018 20:41,-8
2018122400,2018,Oakland Coliseum,12/24/2018 17:15,12/24/2018 20:15,-8
2018123000,2018,M&T Bank Stadium,12/30/2018 16:25,12/30/2018 19:40,-5
2018123001,2018,New Era Field,12/30/2018 13:00,12/30/2018 16:02,-5
2018123002,2018,Lambeau Field,12/30/2018 12:00,12/30/2018 14:45,-6
2018123003,2018,NRG Stadium,12/30/2018 12:00,12/30/2018 14:53,-6
2018123004,2018,Arrowhead Stadium,12/30/2018 15:25,12/30/2018 18:02,-6
2018123005,2018,U.S. Bank Stadium,12/30/2018 15:25,12/30/2018 18:23,-6
2018123006,2018,Gillette Stadium,12/30/2018 13:00,12/30/2018 15:56,-5
2018123007,2018,Mercedes-Benz Superdome,12/30/2018 12:00,12/30/2018 15:00,-6
2018123008,2018,MetLife Stadium,12/30/2018 13:00,12/30/2018 16:11,-5
2018123009,2018,Heinz Field,12/30/2018 16:25,12/30/2018 19:25,-5
2018123010,2018,Raymond James Stadium,12/30/2018 13:00,12/30/2018 16:08,-5
2018123011,2018,Nissan Stadium,12/30/2018 19:20,12/30/2018 22:24,-6
2018123012,2018,FedExField,12/30/2018 16:25,12/30/2018 19:03,-5
2018123013,2018,Empower Field at Mile High,12/30/2018 14:25,12/30/2018 17:28,-7
2018123014,2018,Los Angeles Memorial Coliseum,12/30/2018 13:25,12/30/2018 16:40,-8
2018123015,2018,CenturyLink Field,12/30/2018 13:25,12/30/2018 16:28,-8
2019010500,2018,NRG Stadium,1/5/2019 15:35,1/5/2019 18:33,-6
2019010501,2018,AT&T Stadium,1/5/2019 19:15,1/5/2019 22:26,-6
2019010600,2018,M&T Bank Stadium,1/6/2019 13:05,1/6/2019 16:22,-5
2019010601,2018,Soldier Field,1/6/2019 15:40,1/6/2019 18:49,-6
2019011200,2018,Arrowhead Stadium,1/12/2019 15:35,1/12/2019 18:43,-6
2019011201,2018,Los Angeles Memorial Coliseum,1/12/2019 17:15,1/12/2019 20:16,-8
2019011300,2018,Gillette Stadium,1/13/2019 13:05,1/13/2019 16:37,-5
2019011301,2018,Mercedes-Benz Superdome,1/13/2019 15:40,1/13/2019 18:46,-6
2019012000,2018,Mercedes-Benz Superdome,1/20/2019 14:05,1/20/2019 17:14,-6
